"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","read","writ","recv","send","1m","5m","15m","memory process"
0.206,0.148,99.628,0.014,0.0,0.005,1309921280.0,0.0,706252800.0,81584128.0,297500672.0,1849978880.0,37896.588,17130.735,0.0,0.0,0.0,0.010,0.050,java / 1023664128%
0.995,0.995,98.010,0.0,0.0,0.0,1310244864.0,0.0,706252800.0,81260544.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1944.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,4096.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310097408.0,0.0,706252800.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1310085120.0,0.0,706252800.0,81420288.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,20480.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1309908992.0,0.0,706252800.0,81596416.0,297500672.0,1849978880.0,0.0,0.0,2161.0,1694.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309843456.0,0.0,706252800.0,81661952.0,297500672.0,1849978880.0,0.0,16384.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1309843456.0,0.0,706252800.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309970432.0,0.0,706252800.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1310289920.0,0.0,706252800.0,81215488.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,24576.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1310212096.0,0.0,706252800.0,81293312.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1628.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,140.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310224384.0,0.0,706252800.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310220288.0,0.0,706256896.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1309888512.0,0.0,706256896.0,81612800.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309839360.0,0.0,706256896.0,81661952.0,297500672.0,1849978880.0,0.0,20480.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309839360.0,0.0,706256896.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309839360.0,0.0,706256896.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309839360.0,0.0,706256896.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,372.0,604.0,0.0,0.010,0.050,java / 1023664128%
1.0,0.500,98.500,0.0,0.0,0.0,1310429184.0,0.0,706256896.0,81072128.0,297500672.0,1849978880.0,0.0,0.0,2029.0,2246.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310347264.0,0.0,706256896.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310347264.0,0.0,706256896.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,126.0,972.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310474240.0,0.0,706256896.0,81027072.0,297500672.0,1849978880.0,0.0,0.0,66.0,42.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310474240.0,0.0,706256896.0,81027072.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
1.0,0.500,98.500,0.0,0.0,0.0,1310109696.0,0.0,706256896.0,81391616.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310093312.0,0.0,706256896.0,81408000.0,297500672.0,1849978880.0,0.0,8192.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310093312.0,0.0,706256896.0,81408000.0,297500672.0,1849978880.0,0.0,71680.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310093312.0,0.0,706256896.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310093312.0,0.0,706256896.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.503,98.995,0.0,0.0,0.0,1310363648.0,0.0,706256896.0,81137664.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310220288.0,0.0,706256896.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310220288.0,0.0,706256896.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,126.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310261248.0,0.0,706256896.0,81240064.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,1.005,98.492,0.0,0.0,0.0,1311424512.0,0.0,706260992.0,80072704.0,297500672.0,1849978880.0,0.0,0.0,295.0,1201.0,0.0,0.010,0.050,java / 1023664128%
1.0,1.0,97.500,0.0,0.0,0.500,1312194560.0,0.0,706260992.0,79302656.0,297500672.0,1849978880.0,0.0,0.0,3193.0,3210.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1312260096.0,0.0,706187264.0,79310848.0,297500672.0,1849978880.0,0.0,12288.0,488.0,1402.0,0.0,0.010,0.050,java / 1023664128%
0.995,0.995,98.010,0.0,0.0,0.0,1312387072.0,0.0,706187264.0,79183872.0,297500672.0,1849978880.0,0.0,0.0,1113.0,993.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1312387072.0,0.0,706187264.0,79183872.0,297500672.0,1849978880.0,0.0,0.0,306.0,1217.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1312387072.0,0.0,706187264.0,79183872.0,297500672.0,1849978880.0,0.0,0.0,306.0,721.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1312710656.0,0.0,706191360.0,78856192.0,297500672.0,1849978880.0,0.0,0.0,2430.0,1812.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1312636928.0,0.0,706191360.0,78929920.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1312632832.0,0.0,706195456.0,78929920.0,297500672.0,1849978880.0,0.0,0.0,467.0,1411.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1312632832.0,0.0,706195456.0,78929920.0,297500672.0,1849978880.0,0.0,0.0,66.0,154.0,0.0,0.010,0.050,java / 1023664128%
1.0,0.500,98.500,0.0,0.0,0.0,1312632832.0,0.0,706195456.0,78929920.0,297500672.0,1849978880.0,0.0,0.0,192.0,1299.0,0.0,0.010,0.050,java / 1023664128%
0.505,1.010,98.485,0.0,0.0,0.0,1310216192.0,0.0,706195456.0,81346560.0,297500672.0,1849978880.0,0.0,20480.0,2227.0,1370.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,966.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310408704.0,0.0,706195456.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,306.0,227.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310408704.0,0.0,706195456.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,372.0,604.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310408704.0,0.0,706195456.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,306.0,1222.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310306304.0,0.0,706195456.0,81256448.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310347264.0,0.0,706195456.0,81215488.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310347264.0,0.0,706195456.0,81215488.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,126.0,972.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,98.500,0.0,0.0,0.500,1310171136.0,0.0,706195456.0,81391616.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1066.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310027776.0,0.0,706195456.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,132.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310027776.0,0.0,706195456.0,81534976.0,297500672.0,1849978880.0,0.0,60928.0,306.0,604.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310027776.0,0.0,706195456.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310027776.0,0.0,706195456.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,366.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310027776.0,0.0,706195456.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
1.0,0.500,98.500,0.0,0.0,0.0,1310318592.0,0.0,706195456.0,81244160.0,297500672.0,1849978880.0,0.0,25088.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310281728.0,0.0,706195456.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,132.0,604.0,0.0,0.010,0.050,java / 1023664128%
1.0,0.500,98.500,0.0,0.0,0.0,1310154752.0,0.0,706195456.0,81408000.0,297500672.0,1849978880.0,0.0,16384.0,2095.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310154752.0,0.0,706195456.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310154752.0,0.0,706195456.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310150656.0,0.0,706199552.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310150656.0,0.0,706199552.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1309835264.0,0.0,706199552.0,81723392.0,297500672.0,1849978880.0,0.0,16384.0,2029.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1309769728.0,0.0,706199552.0,81788928.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,1.005,98.492,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,4096.0,2155.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,372.0,184.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,306.0,1238.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,306.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310404608.0,0.0,706199552.0,81154048.0,297500672.0,1849978880.0,0.0,0.0,66.0,972.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,2029.0,1379.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.503,99.497,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.995,0.498,98.507,0.0,0.0,0.0,1310277632.0,0.0,706199552.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,2089.0,1552.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,18432.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,366.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,380.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,140.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,1.005,98.492,0.0,0.0,0.0,1309896704.0,0.0,706199552.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,2089.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,140.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.500,99.500,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.503,0.0,99.497,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1310023680.0,0.0,706199552.0,81534976.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,24576.0,2169.0,1576.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
0.498,0.498,99.005,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,306.0,502.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,366.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.0,99.500,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
1.0,1.0,98.0,0.0,0.0,0.0,1309892608.0,0.0,706203648.0,81661952.0,297500672.0,1849978880.0,0.0,0.0,2095.0,1510.0,0.0,0.010,0.050,java / 1023664128%
0.500,1.0,98.500,0.0,0.0,0.0,1310146560.0,0.0,706203648.0,81408000.0,297500672.0,1849978880.0,0.0,0.0,66.0,803.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,283.0,0.0,0.010,0.050,java / 1023664128%
0.0,0.0,100.0,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,140.0,486.0,0.0,0.010,0.050,java / 1023664128%
0.500,0.500,99.0,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,66.0,486.0,0.0,0.010,0.050,java / 1023664128%
1.005,0.503,98.492,0.0,0.0,0.0,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,3981.0,6072.0,0.0,0.010,0.050,java / 1023664128%
0.495,0.495,98.515,0.0,0.0,0.495,1310273536.0,0.0,706203648.0,81281024.0,297500672.0,1849978880.0,0.0,0.0,306.0,66.0,0.0,0.010,0.050,java / 1023664128%
